"","state","year","e85","total","ratio_e85"
"259","Wyoming","2011",5,48,10.4166666666667
"260","Total","2011",2494,11788,21.1571089243298
"261","Alabama","2012",28,198,14.1414141414141
"262","Alaska","2012",0,12,0
"263","Arizona","2012",32,682,4.69208211143695
"264","Arkansas","2012",33,122,27.0491803278689
"265","California","2012",71,4261,1.66627552217789
"266","Colorado","2012",84,407,20.6388206388206
"267","Connecticut","2012",1,187,0.53475935828877
"268","Delaware","2012",1,20,5
"269","District of Columbia","2012",3,112,2.67857142857143
"270","Florida","2012",51,1024,4.98046875
"271","Georgia","2012",59,347,17.0028818443804
"272","Hawaii","2012",3,333,0.900900900900901
"273","Idaho","2012",9,62,14.5161290322581
"274","Illinois","2012",206,821,25.0913520097442
"275","Indiana","2012",157,527,29.7912713472486
"276","Iowa","2012",188,289,65.0519031141868
"277","Kansas","2012",32,148,21.6216216216216
"278","Kentucky","2012",35,121,28.9256198347107
"279","Louisiana","2012",4,107,3.73831775700935
"280","Maine","2012",1,36,2.77777777777778
"281","Maryland","2012",22,464,4.74137931034483
"282","Massachusetts","2012",8,469,1.70575692963753
"283","Michigan","2012",129,896,14.3973214285714
"284","Minnesota","2012",360,564,63.8297872340426
"285","Mississippi","2012",1,182,0.549450549450549
"286","Missouri","2012",110,310,35.4838709677419
"287","Montana","2012",3,54,5.55555555555556
"288","Nebraska","2012",77,118,65.2542372881356
"289","Nevada","2012",19,128,14.84375
"290","New Hampshire","2012",0,59,0
"291","New Jersey","2012",5,235,2.12765957446809
"292","New Mexico","2012",14,112,12.5
"293","New York","2012",84,780,10.7692307692308
"294","North Carolina","2012",30,726,4.13223140495868
"295","North Dakota","2012",79,106,74.5283018867924
"296","Ohio","2012",88,355,24.7887323943662
"297","Oklahoma","2012",27,203,13.3004926108374
"298","Oregon","2012",8,855,0.935672514619883
"299","Pennsylvania","2012",32,368,8.69565217391304
"300","Rhode Island","2012",0,55,0
"301","South Carolina","2012",84,370,22.7027027027027
"302","South Dakota","2012",100,128,78.125
"303","Tennessee","2012",43,908,4.73568281938326
"304","Texas","2012",80,1940,4.12371134020619
"305","Utah","2012",4,191,2.09424083769634
"306","Vermont","2012",1,37,2.7027027027027
"307","Virginia","2012",18,408,4.41176470588235
"308","Washington","2012",20,1221,1.63800163800164
"309","West Virginia","2012",4,52,7.69230769230769
"310","Wisconsin","2012",126,398,31.6582914572864
"311","Wyoming","2012",9,53,16.9811320754717
"312","Total","2012",2583,22561,11.4489605957183
"313","Alabama","2013",29,10,290
"314","Alaska","2013",0,225,0
"315","Arizona","2013",31,120,25.8333333333333
"316","Arkansas","2013",30,921,3.25732899022801
"317","California","2013",88,5903,1.49076740640352
"318","Colorado","2013",85,449,18.9309576837416
"319","Connecticut","2013",1,254,0.393700787401575
"320","Delaware","2013",1,27,3.7037037037037
"321","District of Columbia","2013",3,74,4.05405405405405
"322","Florida","2013",54,1165,4.63519313304721
"323","Georgia","2013",61,539,11.317254174397
"324","Hawaii","2013",3,370,0.810810810810811
"325","Idaho","2013",9,305,2.95081967213115
"326","Illinois","2013",218,66,330.30303030303
"327","Indiana","2013",169,899,18.7986651835373
"328","Iowa","2013",186,554,33.5740072202166
"329","Kansas","2013",28,186,15.0537634408602
"330","Kentucky","2013",55,155,35.4838709677419
"331","Louisiana","2013",4,114,3.50877192982456
"332","Maine","2013",1,607,0.164744645799012
"333","Maryland","2013",25,613,4.07830342577488
"334","Massachusetts","2013",8,41,19.5121951219512
"335","Michigan","2013",163,999,16.3163163163163
"336","Minnesota","2013",336,626,53.6741214057508
"337","Mississippi","2013",1,333,0.3003003003003
"338","Missouri","2013",106,172,61.6279069767442
"339","Montana","2013",4,59,6.77966101694915
"340","Nebraska","2013",75,814,9.21375921375921
"341","Nevada","2013",20,84,23.8095238095238
"342","New Hampshire","2013",0,137,0
"343","New Jersey","2013",5,58,8.62068965517241
"344","New Mexico","2013",13,268,4.85074626865672
"345","New York","2013",81,110,73.6363636363636
"346","North Carolina","2013",22,182,12.0879120879121
"347","North Dakota","2013",58,995,5.82914572864322
"348","Ohio","2013",97,385,25.1948051948052
"349","Oklahoma","2013",27,307,8.79478827361564
"350","Oregon","2013",8,995,0.804020100502513
