"","state","year","e85","total_stations"
"726","Wisconsin","2020",256,1202
"727","Wyoming","2020",10,213
"728","Total","2020",3946,116146
"729","Alabama","2021",33,823
"730","Alaska","2021",0,97
"731","Arizona","2021",19,2457
"732","Arkansas","2021",70,590
"733","California","2021",264,42193
"734","Colorado","2021",96,4163
"735","Connecticut","2021",3,1472
"736","Delaware","2021",1,327
"737","District of Columbia","2021",4,842
"738","Florida","2021",111,7039
"739","Georgia","2021",67,4142
"740","Hawaii","2021",1,845
"741","Idaho","2021",5,385
"742","Illinois","2021",304,3211
"743","Indiana","2021",247,1282
"744","Iowa","2021",342,983
"745","Kansas","2021",63,1143
"746","Kentucky","2021",75,635
"747","Louisiana","2021",22,482
"748","Maine","2021",0,640
"749","Maryland","2021",46,3537
"750","Massachusetts","2021",6,4930
"751","Michigan","2021",245,2200
"752","Minnesota","2021",454,2073
"753","Mississippi","2021",4,520
"754","Missouri","2021",132,2417
"755","Montana","2021",2,243
"756","Nebraska","2021",120,537
"757","Nevada","2021",12,1395
"758","New Hampshire","2021",0,375
"759","New Jersey","2021",6,2060
"760","New Mexico","2021",18,543
"761","New York","2021",79,7834
"762","North Carolina","2021",100,3102
"763","North Dakota","2021",49,210
"764","Ohio","2021",213,2558
"765","Oklahoma","2021",88,1411
"766","Oregon","2021",4,2541
"767","Pennsylvania","2021",146,2993
"768","Rhode Island","2021",0,637
"769","South Carolina","2021",46,999
"770","South Dakota","2021",83,260
"771","Tennessee","2021",95,1830
"772","Texas","2021",269,6278
"773","Utah","2021",1,2059
"774","Vermont","2021",0,877
"775","Virginia","2021",64,3482
"776","Washington","2021",14,4471
"777","West Virginia","2021",38,365
"778","Wisconsin","2021",261,1310
"779","Wyoming","2021",9,222
"780","Total","2021",4331,138020
"781","Alabama","2022",31,983
"782","Alaska","2022",0,118
"783","Arizona","2022",17,2829
"784","Arkansas","2022",74,735
"785","California","2022",326,44987
"786","Colorado","2022",95,4589
"787","Connecticut","2022",3,1673
"788","Delaware","2022",2,391
"789","District of Columbia","2022",4,992
"790","Florida","2022",143,8130
"791","Georgia","2022",58,4308
"792","Hawaii","2022",1,955
"793","Idaho","2022",4,419
"794","Illinois","2022",293,3842
"795","Indiana","2022",240,1411
"796","Iowa","2022",346,1320
"797","Kansas","2022",73,1187
"798","Kentucky","2022",73,717
"799","Louisiana","2022",18,563
"800","Maine","2022",1,877
"801","Maryland","2022",55,4056
"802","Massachusetts","2022",6,5817
"803","Michigan","2022",228,3037
"804","Minnesota","2022",437,2267
"805","Mississippi","2022",5,524
"806","Missouri","2022",136,2437
"807","Montana","2022",2,284
"808","Nebraska","2022",126,631
"809","Nevada","2022",19,1711
"810","New Hampshire","2022",0,490
"811","New Jersey","2022",6,2744
"812","New Mexico","2022",17,599
"813","New York","2022",79,9730
"814","North Carolina","2022",107,3353
"815","North Dakota","2022",42,235
"816","Ohio","2022",209,3139
"817","Oklahoma","2022",95,1428
"818","Oregon","2022",5,2572
"819","Pennsylvania","2022",172,3594
"820","Rhode Island","2022",0,781
"821","South Carolina","2022",60,1137
"822","South Dakota","2022",81,275
"823","Tennessee","2022",92,1848
"824","Texas","2022",257,7047
"825","Utah","2022",1,1938
"826","Vermont","2022",0,901
"827","Virginia","2022",72,3839
"828","Washington","2022",12,4654
"829","West Virginia","2022",38,444
"830","Wisconsin","2022",257,1461
"831","Wyoming","2022",8,246
"832","Total","2022",4426,154245
